aff9428,Antony Leons,7 minutes ago,favicons added
7e9be92,Antony Leons,40 minutes ago,removed unnecceary queries
b16eb00,JamesDun2866,89 minutes ago,Merge pull request #38 from Openanttony/BugFixing
c5821ca,JamesDun2866,2 hours ago,Added Validation
65cca5d,JamesDun2866,2 hours ago,Even more bug fixes v2
f9b14ea,JamesDun2866,2 hours ago,Even More Bug Fixes
1c6a9ce,JamesDun2866,2 hours ago,More Bug Fixes
c4000d3,JamesDun2866,3 hours ago,Merge branch 'master' into BugFixing
dae9a4d,JamesDun2866,3 hours ago,Update StaffRoomFetch.php
490e2b6,JamesDun2866,3 hours ago,available change
4b1cc12,Antony Leons,3 hours ago,Searches
68b42e8,Antony Leons,5 hours ago,fix search
1b0a7c2,Antony Leons,5 hours ago,Revert "fix search"
3d99046,Antony Leons,5 hours ago,fix search
efbbf9c,Antony Leons,16 hours ago,contact timetabling
ac3a921,Antony Leons,16 hours ago,delete user added
0a4c4c5,Antony Leons,16 hours ago,Update AdminPortal.html
d6ba81b,Antony Leons,17 hours ago,drop downs added
32070d9,Antony Leons,17 hours ago,steps added
289fad9,Antony Leons,21 hours ago,fixed search
57fb155,JamesDun2866,21 hours ago,Merge pull request #37 from Openanttony/Validation
215769e,JamesDun2866,21 hours ago,Merge branch 'master' into Validation
b6e336a,JamesDun2866,21 hours ago,Limitations for every user
716e88b,Antony Leons,21 hours ago,fixed buttons
5882b6a,Antony Leons,21 hours ago,Update AdminManage.html
d1171eb,Antony Leons,22 hours ago,Merge branch 'master' of https://github.com/Openanttony/Agile
6d7c7cf,Antony Leons,22 hours ago,Update loop.php
bd920d7,JamesDun2866,22 hours ago,Merge pull request #36 from Openanttony/Validation
916dbeb,JamesDun2866,22 hours ago,Merge branch 'master' into Validation
47d1425,JamesDun2866,22 hours ago,Student Restrictions
7a1d91f,Antony Leons,22 hours ago,sql queries
2554cc7,Antony Leons,23 hours ago,Create add new dates
f4b3bde,Antony Leons,24 hours ago,Sql updated
0e175f4,JamesDun2866,24 hours ago,Merge pull request #35 from Openanttony/LargeRoom
7e07cfc,JamesDun2866,24 hours ago,Merge branch 'master' into LargeRoom
e7615cc,JamesDun2866,24 hours ago,Added User ExternalUser
3f6e70a,Antony Leons,24 hours ago,removed unnecessary comments
24532ee,Antony Leons,24 hours ago,Update bookings.sql
a5feda2,JamesDun2866,25 hours ago,Merge pull request #34 from Openanttony/ExternalSpeaker
0666c2e,JamesDun2866,25 hours ago,Fixed Redirect
1d4c4f9,JamesDun2866,25 hours ago,Added Speaker Table
923d8a0,JamesDun2866,25 hours ago,Linked External Speaker
0d9bf22,JamesDun2866,25 hours ago,Merge branch 'master' into ExternalSpeaker
2e02a57,JamesDun2866,25 hours ago,External Speaker Added
13c517f,Antony Leons,26 hours ago,fix add user
d3dc969,Antony Leons,26 hours ago,Merge branch 'master' of https://github.com/Openanttony/Agile
7a441d4,Antony Leons,26 hours ago,added union button and sql
a293144,JamesDun2866,26 hours ago,Merge branch 'master' of https://github.com/Openanttony/Agile
472739c,JamesDun2866,26 hours ago,Update AdminManage.html
5fc2ef4,Antony Leons,26 hours ago,password masking
bdd3d32,JamesDun2866,26 hours ago,Merge branch 'master' of https://github.com/Openanttony/Agile
85a5696,JamesDun2866,26 hours ago,Added Member to society
4cb5f00,Antony Leons,27 hours ago,added headers
24ee6a4,Antony Leons,28 hours ago,Update AdminPortal.html
e565fd7,JamesDun2866,28 hours ago,Update AddRoom.php
5978f58,Antony Leons,28 hours ago,css fixes
f1c88de,Antony Leons,28 hours ago,Update Book.php
4f0e322,Antony Leons,28 hours ago,Update Book.php
8aa175c,Antony Leons,28 hours ago,Update Avalible.html
b3ac355,Antony Leons,28 hours ago,Update Avalible.html
3c3dd58,Antony Leons,28 hours ago,Update AdminPortal.html
7fe48ff,JamesDun2866,2 days ago,Merge pull request #33 from Openanttony/AdminPortalExpansion
2274c03,JamesDun2866,2 days ago,Linked Manage Page
1fc567d,JamesDun2866,2 days ago,Merge branch 'master' into AdminPortalExpansion
ebe1842,JamesDun2866,2 days ago,Added Delete Room Function
c319997,JamesDun2866,2 days ago,Merge pull request #32 from Openanttony/AdminPortalExpansion
1629463,JamesDun2866,2 days ago,Auto Generating Primary Key
d4276d3,JamesDun2866,2 days ago,Admins Can Add Rooms
318d49b,JamesDun2866,2 days ago,Merge branch 'master' into AdminPortalExpansion
94c35b4,JamesDun2866,2 days ago,AddRoom Added
65e88f3,Antony Leons,2 days ago,Merge pull request #31 from Openanttony/past-validation
0486687,Antony Leons,2 days ago,cleaned book
97815d1,Antony Leons,2 days ago,added activity to 2 missing ones
96ac4b4,Antony Leons,2 days ago,Merge branch 'master' into past-validation
87ec731,Antony Leons,2 days ago,Update bookings.sql
9ae9448,Antony Leons,2 days ago,added is past
fd448e3,JamesDun2866,2 days ago,Merge pull request #30 from Openanttony/AdminPortalExpansion
cc18a2b,JamesDun2866,2 days ago,Added Times of rooms to form
3bea67a,JamesDun2866,2 days ago,Added Admin Manage Room Page
